,File_List,Header,Text
43,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_28.png'],ACCOUNTANTS-PUBLIC,Campana Falco B 135 Whitford Av
44,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_29.png'],ACCOUNTANTS-PUBLIC,Ched Limited 245 Waterman St Rm 400
45,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_30.png'],ACCOUNTANTS-PUBLIC,Ciolfl Alex & Co 207 Union Av
46,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_31.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_32.png']",ACCOUNTANTS-PUBLIC,Clegg Geo B Public Acct 111 Westminster St Rm 617
47,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_33.png'],ACCOUNTANTS-PUBLIC,Clements Roy F 35 Klondike St
48,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_34.png'],ACCOUNTANTS-PUBLIC,Cofman Morris & Associates 116 Wayland Av
49,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_35.png'],ACCOUNTANTS-PUBLIC,Corrente Frank E 111 Westminster St Rm 523
50,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_36.png'],ACCOUNTANTS-PUBLIC,D'Amico Robt A & Co 515 Smith St
51,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_37.png'],ACCOUNTANTS-PUBLIC,David Bennie A 168 Broadway
52,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_38.png'],ACCOUNTANTS-PUBLIC,Della Ventura Guy 36 Olneyville Sq Rm 5
53,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_39.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_40.png']",ACCOUNTANTS-PUBLIC,Di Chiara Michl W 1410 Mineral Spring Av(N Prov)
54,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_41.png'],ACCOUNTANTS-PUBLIC,Drummond Accounting Service 850 Admiral St
55,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_42.png'],ACCOUNTANTS-PUBLIC,Duffy A Edgell 170 Westminster St Rm 300
56,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_43.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_44.png']",ACCOUNTANTS-PUBLIC,Dufour Keenan Tripp 76 Westminster St Rm 315
57,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_45.png'],ACCOUNTANTS-PUBLIC,Dydb Joseph A 27 Algonquin St
58,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_2.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_3.png']",ACCOUNTANTS-PUBLIG-CONTD,"EDSON HUBERT 849 N Main St (02904), Tel 831-1470"
59,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_4.png'],ACCOUNTANTS-PUBLIG-CONTD,gmst & Ernst One Hosp Trust Plaza 17th Fl
60,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_5.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_6.png']",ACCOUNTANTS-PUBLIG-CONTD,Ervanian Stanley S 111-Westminster St Rm 523
61,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_7.png'],ACCOUNTANTS-PUBLIG-CONTD,Eederico Michl T & Co 57 Eddy St Rm 212
62,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_8.png'],ACCOUNTANTS-PUBLIG-CONTD,Feeney James E 154 Francis St 2d F1
